ANO;MES;CODIGO_RNT;COD_MUN;COD_DPTO;ESTADO_RNT;RAZON_SOCIAL_ESTABLECIMIENTO;DEPARTAMENTO;MUNICIPIO;CATEGORIA;SUB_CATEGORIA;NUM_EMP;HABITACIONES;CAMAS
2024;4;789;50001;50;ACTIVO;PROTURISMO;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;3;0;0
2024;3;1008;50001;50;ACTIVO;HOTEL VILLAVICENCIO PLAZA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;65;77
2024;4;4525;50001;50;ACTIVO;HOTEL DON LOLO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;24;57;138
2024;3;5345;50001;50;ACTIVO;HOTEL EL ALCARAVAN DE COLSUBSIDIO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;63;252
2024;3;5377;50001;50;ACTIVO;HOTEL NAPOLITANO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;65;182
2024;2;5495;50001;50;ACTIVO;HOTEL CENTAUROS DEL LLANO.;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;5;42;50
2024;1;5979;50001;50;ACTIVO;HOTEL IGUAZU;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;5;26;42
2024;3;6184;50001;50;ACTIVO;HOTEL CALAMAR;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;20;32
2024;4;6212;50001;50;ACTIVO;HOTEL EL CAIMITO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;33;45
2024;3;6872;50001;50;ACTIVO;HOTEL ARPA DE AGUAS;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;19;27
2024;4;6879;50001;50;ACTIVO;GRAN HOTEL DEL COMERCIO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;3;40;45
2024;3;7194;50001;50;ACTIVO;HOTEL MILAN;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;20;25
2024;2;7382;50006;50;ACTIVO;HOTEL VIMARDY;META;ACACIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;8;12
2024;4;7618;50001;50;ACTIVO;AVIATUR VILLAVICENCIO;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;2;0;0
2024;2;7674;50006;50;ACTIVO;HOTEL LA MANSION;META;ACACIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;52;80
2024;3;7694;50001;50;ACTIVO;HOTEL CRISTAL LUNA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;1;9;9
2024;4;8019;50001;50;ACTIVO;HOTEL EL PORTAL DEL LLANO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;1;22;24
2024;3;8696;50001;50;ACTIVO;HOTEL MARIA GLORIA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;59;89
2024;3;8697;50001;50;ACTIVO;HOTEL CARMENTEA;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;29;59
2024;3;9314;50318;50;ACTIVO;FINCA HOTEL BUENOS AIRES;META;GUAMAL;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;5;20
2024;3;9607;50001;50;ACTIVO;CASA CAMPESTRE MARVELLA;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;1;10
2024;3;9702;50313;50;ACTIVO;HOTEL ALHAMBRA;META;GRANADA (META);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;3;20;34
2024;3;9716;50001;50;ACTIVO;HOTEL PABLO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;59;66
2024;1;9807;50001;50;ACTIVO;HOTEL ECLIPSE;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;4;20;27
2024;2;9874;50006;50;ACTIVO;HOTEL DON LUCHO J;META;ACACIAS;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;9;9
2024;3;9964;50001;50;ACTIVO;HOTEL DEL LLANO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;108;202
2024;1;10210;50001;50;ACTIVO;VIAJEROS VIP;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES OPERADORAS;0;0;0
2024;3;10752;50313;50;ACTIVO;HOTEL CAPILLA DEL LLANO;META;GRANADA (META);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;2;26;38
2024;3;10759;50606;50;ACTIVO;OSCAR ORJUELA TORRES;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;8;12
2024;1;10767;50606;50;ACTIVO;CASA DE CAMPO LA MARCELLA;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;5;10
2024;4;10776;50001;50;ACTIVO;HOTEL EL CALEÑO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;18;26
2024;3;10798;50001;50;ACTIVO;CENTRO RECREACIONAL Y VACACIONAL LLANO CARIBEÑO GRAMALOTE;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;CENTRO VACACIONAL;4;10;36
2024;2;10899;50313;50;ACTIVO;AVENTURAS LLANERAS TURISMO Y EXCURSIONES;META;GRANADA (META);AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;4;10924;50001;50;ACTIVO;TEQUENDAMA HOTEL CAMPESTRE VILLAVICENCIO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;51;152
2024;2;10986;50001;50;ACTIVO;FINCA DE RECREO VILLA CONSUELO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;7;17
2024;1;10995;50001;50;ACTIVO;CHIVAS & PARRANDO;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;0;0;0
2024;1;11015;50606;50;ACTIVO;RESERVA NATURAL RANCHO CAMANA;META;RESTREPO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;8;15
2024;3;11040;50568;50;ACTIVO;HOTEL VILLA VIVIANA;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;21;27
2024;1;11284;50001;50;ACTIVO;HOTEL UNION VILLAVICENCIO;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;4;10
2024;4;11311;50001;50;ACTIVO;TIUMA PARK EXPEDICION LLANOS ORIENTALES;META;VILLAVICENCIO;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;1;58;124
2024;1;11383;50568;50;ACTIVO;HOTEL SARARE;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;21;23
2024;3;11496;50568;50;ACTIVO;HOTEL MI POSADA;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;11;17
2024;3;11525;50568;50;ACTIVO;HOTEL PUERTA AL LLANO;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;38;60
2024;3;11592;50568;50;ACTIVO;HOTEL LA PLAYA;META;PUERTO GAITAN (MANACACIAS);ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;31;42
2024;2;11754;50573;50;ACTIVO;HOTEL LLANO GRANDE;META;PUERTO LOPEZ;ESTABLECIMIENTOS DE ALOJAMIENTO TURÍSTICO;HOTEL;0;13;20
2024;3;11820;50001;50;ACTIVO;CABAÑAS TAPARUKO VILLAVICENCIO;META;VILLAVICENCIO;VIVIENDAS TURÍSTICAS;FINCA TURISTICA (ALOJAMIENTO RURAL);0;3;30
2024;4;11846;50001;50;ACTIVO;TRANSPORTE EJECUTIVO DEL LLANO;META;VILLAVICENCIO;AGENCIAS DE VIAJES;AGENCIA DE VIAJES Y DE TURISMO;13;0;0
